trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,0,-18.490765571552146,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,0,-60.42029140135864,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-44.82263353492442,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,-5.227133965302123,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.6376281516217733}",30,2,-12.554528821133893,"{0: 23, 1: 3, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.631283645506926}",20,0,-50.030322616916074,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.6250022682827008}",30,6,-28.207002323462298,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,17,14.631843001854632,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,10,19.157968176963514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.6065306597126334}",25,10,-71.91363930108446,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,0,-138.21396641476858,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,11,-9.587099109646008,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,15,2.1503757870312885,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-58.272664868260584,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,9,12.025651248829744,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,0,-45.13376871744767,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.5655254386995371}",30,24,8.545597027295761,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.559898366565402}",20,10,-2.667341991207068,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,0,-42.45267253170134,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5488116360940264}",25,7,-84.94204497463267,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
62,False,"{'a': 0.01, 'e': 0.5433508690744998}",35,0,-81.85666695537222,"{0: 29, 1: 1, 2: 2, 3: 1, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.5379444375946745}",25,0,-57.86146058902601,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.5325918010068972}",30,0,-63.7726251445185,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",1
65,False,"{'a': 0.01, 'e': 0.5272924240430485}",20,13,0.47110538131379753,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.522045776761016}",20,13,12.904791891087289,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,9,-1.8624193077006364,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5117085777865424}",25,0,-92.92535274445126,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,0,-75.76200094388776,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,3,-24.227496943600155,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,-90.39003276368148,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,11,3.133102514801444,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,0,13.439291488819045,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,8,19.108337965323244,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,0,3.4908240078501205,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,19,-0.8505641182284789,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.46766642700990924}",30,22,14.020064964112539,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.46301306831122807}",25,0,-25.466271245580604,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,8,9.382556775289286,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.45384479528235583}",25,6,-21.380023291563493,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.44932896411722156}",30,3,-3.1360089091691097,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,-4.214325266029812,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,13,-2.9043273763856186,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,0,-67.52326928644288,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.43171052342907973}",25,14,-34.501913951668676,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,16,6.4223909312600185,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,21.891641755978583,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.418951549247639}",20,0,-18.52296432658599,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,0,-59.57688548040545,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,15,-30.206330140307017,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,14,8.359100723611565,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.40252422403363597}",25,17,-34.64758677440004,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,2,-29.532163974875882,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,9,-55.50294680785102,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.3906278353585211}",30,0,22.741077078280963,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,0,-43.49792420887584,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.38289288597511206}",30,13,-15.11634311260589,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37908303810339883}",25,16,14.645753983849822,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.37531109885139957}",35,15,9.186753956350634,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,0,-153.1906464943078,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
101,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,16,6.743422120588227,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3642189795715233}",35,0,-22.67498604844331,"{0: 30, 1: 1, 2: 2, 3: 2, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,5,-9.991362360379362,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,17,-15.940107439794408,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.35345468195878016}",30,14,-4.637919433372572,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3499377491111553}",25,9,-15.721526774913407,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.3464558103300574}",30,17,-43.57614817965243,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,6,16.610467240372206,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,14,11.789254204840514,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33621649370673334}",30,4,-8.6220668937042,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,0,-66.15761924788146,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.01, 'e': 0.32955896107518906}",25,3,-64.21126591937858,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.32627979462303947}",20,11,-17.75712594004128,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,0,29.49937873836536,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.31981902181630384}",30,4,20.067158785301036,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,0,-2.6594712447729334,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,10,-24.645683614278404,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,3,27.107639067844477,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.30727873860113125}",35,2,3.064565422449105,"{0: 28, 1: 0, 2: 5, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3042212640667041}",25,13,-32.41813570041277,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.30119421191220214}",30,0,-26.971817918759314,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,5,-61.50266357758627,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
123,False,"{'a': 0.01, 'e': 0.2952301669240142}",20,3,27.596666661635478,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.2922925776808594}",25,0,-32.25540482849887,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
125,False,"{'a': 0.01, 'e': 0.2893842179390506}",30,10,-37.81577869068472,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
126,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,8,10.27800380345979,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2836540264997704}",25,4,-71.26302444182002,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 2}",1
128,False,"{'a': 0.01, 'e': 0.2808316217783798}",20,15,-4.364538756650309,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27803730045319414}",20,0,7.546625177172338,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.27527078308975234}",30,11,20.678646357544086,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2725317930340126}",20,3,13.670829302862977,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2698200563846868}",30,8,9.807398182588958,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26713530196585034}",20,15,10.310196964977818,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.26447726129982396}",25,11,6.570998000034924,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.261845668580326}",20,2,7.329735612409671,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2592402606458915}",20,12,13.484837192622082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.2566607769535559}",20,2,11.407481336685306,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.25410695955280027}",30,13,14.230653121725869,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.25157855305975646}",25,12,-1.2020486117566513,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,5,-18.50139872680658,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,9,11.074532120269822,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.2441432831534371}",25,0,-11.793287490537342,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.01, 'e': 0.24171401689703645}",20,11,18.78448434302919,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23930892224375455}",20,13,12.694135628970514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,15,10.217079508172535,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.23457028809379765}",25,17,6.88475432927466,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.23223627472975883}",20,8,-2.675427590357511,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22992548518672384}",20,13,0.480202370299851,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22763768838381274}",30,10,12.575394078430943,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22537265553943872}",20,5,6.85221724068005,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.22313016014842982}",35,24,20.82621731228438,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.2209099779593782}",20,15,9.708857225175088,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21871188695221475}",30,12,5.262564963939877,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,11,15.069621352791133,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,0,15.32526890973587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,7,17.48173371016686,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,11,7.253612791944372,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,14,-31.954536775245664,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,8,18.33710222524955,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,8,6.154508681043199,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.20189651799465538}",25,13,1.0180954096871526,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,0,31.79675291712682,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
